Freq.	V(oh_full)
1.59107296750985e+002	(-3.34613155440489e+001dB,-9.16533155499304e+001°)
1.59659677271331e+002	(-3.34312256199275e+001dB,-9.16588368905902e+001°)
1.60213975517925e+002	(-3.34011357865760e+001dB,-9.16643781430292e+001°)
1.60770198148631e+002	(-3.33710460446266e+001dB,-9.16699393736689e+001°)
1.61328351844426e+002	(-3.33409563947157e+001dB,-9.16755206491689e+001°)
1.61888443309483e+002	(-3.33108668374841e+001dB,-9.16811220364286e+001°)
1.62450479271248e+002	(-3.32807773735771e+001dB,-9.16867436025872e+001°)
1.63014466480526e+002	(-3.32506880036444e+001dB,-9.16923854150248e+001°)
1.63580411711557e+002	(-3.32205987283404e+001dB,-9.16980475413634e+001°)
1.64148321762100e+002	(-3.31905095483239e+001dB,-9.17037300494673e+001°)
1.64718203453515e+002	(-3.31604204642582e+001dB,-9.17094330074442e+001°)
1.65290063630843e+002	(-3.31303314768113e+001dB,-9.17151564836459e+001°)
1.65863909162889e+002	(-3.31002425866559e+001dB,-9.17209005466690e+001°)
1.66439746942306e+002	(-3.30701537944692e+001dB,-9.17266652653560e+001°)
1.67017583885675e+002	(-3.30400651009332e+001dB,-9.17324507087957e+001°)
1.67597426933591e+002	(-3.30099765067346e+001dB,-9.17382569463244e+001°)
1.68179283050744e+002	(-3.29798880125649e+001dB,-9.17440840475265e+001°)
1.68763159226004e+002	(-3.29497996191203e+001dB,-9.17499320822352e+001°)
1.69349062472506e+002	(-3.29197113271021e+001dB,-9.17558011205338e+001°)
1.69936999827731e+002	(-3.28896231372160e+001dB,-9.17616912327560e+001°)
1.70526978353592e+002	(-3.28595350501731e+001dB,-9.17676024894870e+001°)
1.71119005136521e+002	(-3.28294470666890e+001dB,-9.17735349615642e+001°)
1.71713087287552e+002	(-3.27993591874847e+001dB,-9.17794887200783e+001°)
1.72309231942404e+002	(-3.27692714132857e+001dB,-9.17854638363738e+001°)
1.72907446261574e+002	(-3.27391837448230e+001dB,-9.17914603820499e+001°)
1.73507737430415e+002	(-3.27090961828324e+001dB,-9.17974784289616e+001°)
1.74110112659226e+002	(-3.26790087280548e+001dB,-9.18035180492202e+001°)
1.74714579183340e+002	(-3.26489213812364e+001dB,-9.18095793151946e+001°)
1.75321144263208e+002	(-3.26188341431285e+001dB,-9.18156622995114e+001°)
1.75929815184488e+002	(-3.25887470144876e+001dB,-9.18217670750566e+001°)
1.76540599258132e+002	(-3.25586599960755e+001dB,-9.18278937149760e+001°)
1.77153503820473e+002	(-3.25285730886591e+001dB,-9.18340422926760e+001°)
1.77768536233315e+002	(-3.24984862930108e+001dB,-9.18402128818247e+001°)
1.78385703884020e+002	(-3.24683996099084e+001dB,-9.18464055563527e+001°)
1.79005014185596e+002	(-3.24383130401350e+001dB,-9.18526203904538e+001°)
1.79626474576788e+002	(-3.24082265844790e+001dB,-9.18588574585860e+001°)
1.80250092522167e+002	(-3.23781402437347e+001dB,-9.18651168354726e+001°)
1.80875875512219e+002	(-3.23480540187014e+001dB,-9.18713985961026e+001°)
1.81503831063433e+002	(-3.23179679101842e+001dB,-9.18777028157319e+001°)
1.82133966718397e+002	(-3.22878819189939e+001dB,-9.18840295698841e+001°)
1.82766290045881e+002	(-3.22577960459466e+001dB,-9.18903789343515e+001°)
1.83400808640935e+002	(-3.22277102918644e+001dB,-9.18967509851957e+001°)
1.84037530124976e+002	(-3.21976246575749e+001dB,-9.19031457987489e+001°)
1.84676462145880e+002	(-3.21675391439116e+001dB,-9.19095634516144e+001°)
1.85317612378075e+002	(-3.21374537517135e+001dB,-9.19160040206677e+001°)
1.85960988522634e+002	(-3.21073684818257e+001dB,-9.19224675830574e+001°)
1.86606598307363e+002	(-3.20772833350990e+001dB,-9.19289542162061e+001°)
1.87254449486900e+002	(-3.20471983123903e+001dB,-9.19354639978113e+001°)
1.87904549842804e+002	(-3.20171134145622e+001dB,-9.19419970058461e+001°)
1.88556907183649e+002	(-3.19870286424835e+001dB,-9.19485533185607e+001°)
1.89211529345120e+002	(-3.19569439970288e+001dB,-9.19551330144823e+001°)
1.89868424190105e+002	(-3.19268594790791e+001dB,-9.19617361724174e+001°)
1.90527599608789e+002	(-3.18967750895210e+001dB,-9.19683628714513e+001°)
1.91189063518750e+002	(-3.18666908292479e+001dB,-9.19750131909500e+001°)
1.91852823865054e+002	(-3.18366066991588e+001dB,-9.19816872105609e+001°)
1.92518888620352e+002	(-3.18065227001594e+001dB,-9.19883850102134e+001°)
1.93187265784970e+002	(-3.17764388331613e+001dB,-9.19951066701202e+001°)
1.93857963387014e+002	(-3.17463550990827e+001dB,-9.20018522707782e+001°)
1.94530989482458e+002	(-3.17162714988482e+001dB,-9.20086218929693e+001°)
1.95206352155246e+002	(-3.16861880333885e+001dB,-9.20154156177613e+001°)
1.95884059517387e+002	(-3.16561047036410e+001dB,-9.20222335265092e+001°)
1.96564119709052e+002	(-3.16260215105496e+001dB,-9.20290757008555e+001°)
1.97246540898673e+002	(-3.15959384550647e+001dB,-9.20359422227321e+001°)
1.97931331283043e+002	(-3.15658555381434e+001dB,-9.20428331743602e+001°)
1.98618499087409e+002	(-3.15357727607491e+001dB,-9.20497486382521e+001°)
1.99308052565575e+002	(-3.15056901238524e+001dB,-9.20566886972117e+001°)
2.00000000000001e+002	(-3.14756076284301e+001dB,-9.20636534343356e+001°)
2.00694349701902e+002	(-3.14455252754663e+001dB,-9.20706429330142e+001°)
2.01391110011345e+002	(-3.14154430659515e+001dB,-9.20776572769324e+001°)
2.02090289297354e+002	(-3.13853610008833e+001dB,-9.20846965500708e+001°)
2.02791895958007e+002	(-3.13552790812661e+001dB,-9.20917608367066e+001°)
2.03495938420539e+002	(-3.13251973081114e+001dB,-9.20988502214146e+001°)
2.04202425141440e+002	(-3.12951156824376e+001dB,-9.21059647890681e+001°)
2.04911364606562e+002	(-3.12650342052703e+001dB,-9.21131046248400e+001°)
2.05622765331215e+002	(-3.12349528776421e+001dB,-9.21202698142037e+001°)
2.06336635860273e+002	(-3.12048717005928e+001dB,-9.21274604429343e+001°)
2.07052984768277e+002	(-3.11747906751693e+001dB,-9.21346765971094e+001°)
2.07771820659534e+002	(-3.11447098024260e+001dB,-9.21419183631100e+001°)
2.08493152168226e+002	(-3.11146290834245e+001dB,-9.21491858276218e+001°)
2.09216987958508e+002	(-3.10845485192337e+001dB,-9.21564790776360e+001°)
2.09943336724615e+002	(-3.10544681109300e+001dB,-9.21637982004504e+001°)
2.10672207190969e+002	(-3.10243878595972e+001dB,-9.21711432836705e+001°)
2.11403608112278e+002	(-3.09943077663267e+001dB,-9.21785144152103e+001°)
2.12137548273645e+002	(-3.09642278322174e+001dB,-9.21859116832934e+001°)
2.12874036490674e+002	(-3.09341480583759e+001dB,-9.21933351764540e+001°)
2.13613081609572e+002	(-3.09040684459165e+001dB,-9.22007849835384e+001°)
2.14354692507260e+002	(-3.08739889959610e+001dB,-9.22082611937050e+001°)
2.15098878091477e+002	(-3.08439097096393e+001dB,-9.22157638964265e+001°)
2.15845647300887e+002	(-3.08138305880889e+001dB,-9.22232931814902e+001°)
2.16595009105187e+002	(-3.07837516324553e+001dB,-9.22308491389991e+001°)
2.17346972505213e+002	(-3.07536728438919e+001dB,-9.22384318593733e+001°)
2.18101546533053e+002	(-3.07235942235602e+001dB,-9.22460414333507e+001°)
2.18858740252150e+002	(-3.06935157726297e+001dB,-9.22536779519883e+001°)
2.19618562757412e+002	(-3.06634374922779e+001dB,-9.22613415066630e+001°)
2.20381023175324e+002	(-3.06333593836906e+001dB,-9.22690321890731e+001°)
2.21146130664056e+002	(-3.06032814480619e+001dB,-9.22767500912387e+001°)
2.21913894413571e+002	(-3.05732036865940e+001dB,-9.22844953055033e+001°)
2.22684323645739e+002	(-3.05431261004975e+001dB,-9.22922679245349e+001°)
2.23457427614446e+002	(-3.05130486909914e+001dB,-9.23000680413265e+001°)
2.24233215605704e+002	(-3.04829714593033e+001dB,-9.23078957491979e+001°)
2.25011696937764e+002	(-3.04528944066691e+001dB,-9.23157511417963e+001°)
2.25792880961228e+002	(-3.04228175343334e+001dB,-9.23236343130974e+001°)
2.26576777059162e+002	(-3.03927408435493e+001dB,-9.23315453574069e+001°)
2.27363394647205e+002	(-3.03626643355788e+001dB,-9.23394843693611e+001°)
2.28152743173687e+002	(-3.03325880116926e+001dB,-9.23474514439283e+001°)
2.28944832119739e+002	(-3.03025118731701e+001dB,-9.23554466764096e+001°)
