Freq.	V(oh)
1.20163604952685e+002	(-6.68105590496880e+001dB,1.20600940007721e+002°)
1.20580782769076e+002	(-6.67724418309856e+001dB,1.20687306453665e+002°)
1.20999408921930e+002	(-6.67342837371353e+001dB,1.20773810296851e+002°)
1.21419488439505e+002	(-6.66960846356488e+001dB,1.20860450923268e+002°)
1.21841026367519e+002	(-6.66578443943809e+001dB,1.20947227712542e+002°)
1.22264027769207e+002	(-6.66195628815377e+001dB,1.21034140037948e+002°)
1.22688497725381e+002	(-6.65812399656851e+001dB,1.21121187266404e+002°)
1.23114441334492e+002	(-6.65428755157578e+001dB,1.21208368758475e+002°)
1.23541863712693e+002	(-6.65044694010675e+001dB,1.21295683868379e+002°)
1.23970769993899e+002	(-6.64660214913115e+001dB,1.21383131943984e+002°)
1.24401165329847e+002	(-6.64275316565818e+001dB,1.21470712326820e+002°)
1.24833054890162e+002	(-6.63889997673736e+001dB,1.21558424352077e+002°)
1.25266443862413e+002	(-6.63504256945935e+001dB,1.21646267348614e+002°)
1.25701337452183e+002	(-6.63118093095689e+001dB,1.21734240638960e+002°)
1.26137740883125e+002	(-6.62731504840565e+001dB,1.21822343539328e+002°)
1.26575659397028e+002	(-6.62344490902507e+001dB,1.21910575359614e+002°)
1.27015098253879e+002	(-6.61957050007930e+001dB,1.21998935403411e+002°)
1.27456062731927e+002	(-6.61569180887800e+001dB,1.22087422968012e+002°)
1.27898558127743e+002	(-6.61180882277729e+001dB,1.22176037344423e+002°)
1.28342589756291e+002	(-6.60792152918060e+001dB,1.22264777817369e+002°)
1.28788162950983e+002	(-6.60402991553951e+001dB,1.22353643665306e+002°)
1.29235283063750e+002	(-6.60013396935471e+001dB,1.22442634160432e+002°)
1.29683955465101e+002	(-6.59623367817681e+001dB,1.22531748568695e+002°)
1.30134185544194e+002	(-6.59232902960729e+001dB,1.22620986149812e+002°)
1.30585978708892e+002	(-6.58842001129931e+001dB,1.22710346157271e+002°)
1.31039340385837e+002	(-6.58450661095865e+001dB,1.22799827838356e+002°)
1.31494276020508e+002	(-6.58058881634454e+001dB,1.22889430434150e+002°)
1.31950791077290e+002	(-6.57666661527063e+001dB,1.22979153179556e+002°)
1.32408891039540e+002	(-6.57273999560577e+001dB,1.23068995303313e+002°)
1.32868581409652e+002	(-6.56880894527497e+001dB,1.23158956028005e+002°)
1.33329867709120e+002	(-6.56487345226025e+001dB,1.23249034570083e+002°)
1.33792755478612e+002	(-6.56093350460153e+001dB,1.23339230139882e+002°)
1.34257250278027e+002	(-6.55698909039751e+001dB,1.23429541941637e+002°)
1.34723357686569e+002	(-6.55304019780655e+001dB,1.23519969173498e+002°)
1.35191083302813e+002	(-6.54908681504757e+001dB,1.23610511027558e+002°)
1.35660432744768e+002	(-6.54512893040091e+001dB,1.23701166689863e+002°)
1.36131411649948e+002	(-6.54116653220921e+001dB,1.23791935340437e+002°)
1.36604025675440e+002	(-6.53719960887829e+001dB,1.23882816153305e+002°)
1.37078280497971e+002	(-6.53322814887805e+001dB,1.23973808296509e+002°)
1.37554181813975e+002	(-6.52925214074332e+001dB,1.24064910932135e+002°)
1.38031735339663e+002	(-6.52527157307472e+001dB,1.24156123216333e+002°)
1.38510946811093e+002	(-6.52128643453960e+001dB,1.24247444299342e+002°)
1.38991821984234e+002	(-6.51729671387282e+001dB,1.24338873325515e+002°)
1.39474366635041e+002	(-6.51330239987769e+001dB,1.24430409433343e+002°)
1.39958586559520e+002	(-6.50930348142681e+001dB,1.24522051755478e+002°)
1.40444487573800e+002	(-6.50529994746294e+001dB,1.24613799418764e+002°)
1.40932075514202e+002	(-6.50129178699985e+001dB,1.24705651544260e+002°)
1.41421356237310e+002	(-6.49727898912320e+001dB,1.24797607247272e+002°)
1.41912335620039e+002	(-6.49326154299139e+001dB,1.24889665637375e+002°)
1.42405019559708e+002	(-6.48923943783641e+001dB,1.24981825818447e+002°)
1.42899413974110e+002	(-6.48521266296469e+001dB,1.25074086888697e+002°)
1.43395524801583e+002	(-6.48118120775798e+001dB,1.25166447940692e+002°)
1.43893358001083e+002	(-6.47714506167414e+001dB,1.25258908061396e+002°)
1.44392919552250e+002	(-6.47310421424806e+001dB,1.25351466332191e+002°)
1.44894215455488e+002	(-6.46905865509241e+001dB,1.25444121828919e+002°)
1.45397251732032e+002	(-6.46500837389855e+001dB,1.25536873621907e+002°)
1.45902034424018e+002	(-6.46095336043735e+001dB,1.25629720776006e+002°)
1.46408569594563e+002	(-6.45689360455996e+001dB,1.25722662350621e+002°)
1.46916863327831e+002	(-6.45282909619873e+001dB,1.25815697399751e+002°)
1.47426921729111e+002	(-6.44875982536795e+001dB,1.25908824972018e+002°)
1.47938750924884e+002	(-6.44468578216471e+001dB,1.26002044110708e+002°)
1.48452357062906e+002	(-6.44060695676970e+001dB,1.26095353853806e+002°)
1.48967746312271e+002	(-6.43652333944803e+001dB,1.26188753234032e+002°)
1.49484924863494e+002	(-6.43243492055001e+001dB,1.26282241278884e+002°)
1.50003898928582e+002	(-6.42834169051197e+001dB,1.26375817010670e+002°)
1.50524674741107e+002	(-6.42424363985705e+001dB,1.26469479446552e+002°)
1.51047258556283e+002	(-6.42014075919600e+001dB,1.26563227598585e+002°)
