Freq.	V(ch_full)
1.12505848468881e+002	(-3.64704676410284e+001dB,-9.10771183848610e+001°)
1.12896440480613e+002	(-3.64403697564109e+001dB,-9.10805498959728e+001°)
1.13288388529580e+002	(-3.64102719070644e+001dB,-9.10839943828947e+001°)
1.13681697323602e+002	(-3.63801740932362e+001dB,-9.10874518869679e+001°)
1.14076371586843e+002	(-3.63500763151754e+001dB,-9.10909224496895e+001°)
1.14472416059869e+002	(-3.63199785731327e+001dB,-9.10944061127133e+001°)
1.14869835499704e+002	(-3.62898808673608e+001dB,-9.10979029178499e+001°)
1.15268634679887e+002	(-3.62597831981138e+001dB,-9.11014129070676e+001°)
1.15668818390529e+002	(-3.62296855656478e+001dB,-9.11049361224926e+001°)
1.16070391438372e+002	(-3.61995879702206e+001dB,-9.11084726064097e+001°)
1.16473358646846e+002	(-3.61694904120917e+001dB,-9.11120224012626e+001°)
1.16877724856125e+002	(-3.61393928915225e+001dB,-9.11155855496546e+001°)
1.17283494923188e+002	(-3.61092954087762e+001dB,-9.11191620943490e+001°)
1.17690673721877e+002	(-3.60791979641177e+001dB,-9.11227520782698e+001°)
1.18099266142953e+002	(-3.60491005578138e+001dB,-9.11263555445018e+001°)
1.18509277094158e+002	(-3.60190031901333e+001dB,-9.11299725362915e+001°)
1.18920711500272e+002	(-3.59889058613464e+001dB,-9.11336030970476e+001°)
1.19333574303172e+002	(-3.59588085717258e+001dB,-9.11372472703411e+001°)
1.19747870461893e+002	(-3.59287113215455e+001dB,-9.11409050999064e+001°)
1.20163604952685e+002	(-3.58986141110818e+001dB,-9.11445766296415e+001°)
1.20580782769076e+002	(-3.58685169406126e+001dB,-9.11482619036084e+001°)
1.20999408921930e+002	(-3.58384198104180e+001dB,-9.11519609660339e+001°)
1.21419488439505e+002	(-3.58083227207799e+001dB,-9.11556738613100e+001°)
1.21841026367519e+002	(-3.57782256719820e+001dB,-9.11594006339946e+001°)
1.22264027769207e+002	(-3.57481286643103e+001dB,-9.11631413288116e+001°)
1.22688497725381e+002	(-3.57180316980524e+001dB,-9.11668959906519e+001°)
1.23114441334492e+002	(-3.56879347734983e+001dB,-9.11706646645737e+001°)
1.23541863712693e+002	(-3.56578378909396e+001dB,-9.11744473958031e+001°)
1.23970769993899e+002	(-3.56277410506701e+001dB,-9.11782442297345e+001°)
1.24401165329847e+002	(-3.55976442529857e+001dB,-9.11820552119315e+001°)
1.24833054890162e+002	(-3.55675474981842e+001dB,-9.11858803881270e+001°)
1.25266443862413e+002	(-3.55374507865655e+001dB,-9.11897198042241e+001°)
1.25701337452183e+002	(-3.55073541184317e+001dB,-9.11935735062962e+001°)
1.26137740883125e+002	(-3.54772574940869e+001dB,-9.11974415405882e+001°)
1.26575659397028e+002	(-3.54471609138372e+001dB,-9.12013239535166e+001°)
1.27015098253879e+002	(-3.54170643779909e+001dB,-9.12052207916700e+001°)
1.27456062731927e+002	(-3.53869678868585e+001dB,-9.12091321018100e+001°)
1.27898558127743e+002	(-3.53568714407525e+001dB,-9.12130579308714e+001°)
1.28342589756291e+002	(-3.53267750399878e+001dB,-9.12169983259630e+001°)
1.28788162950983e+002	(-3.52966786848812e+001dB,-9.12209533343681e+001°)
1.29235283063750e+002	(-3.52665823757518e+001dB,-9.12249230035449e+001°)
1.29683955465101e+002	(-3.52364861129210e+001dB,-9.12289073811274e+001°)
1.30134185544194e+002	(-3.52063898967122e+001dB,-9.12329065149258e+001°)
1.30585978708892e+002	(-3.51762937274514e+001dB,-9.12369204529267e+001°)
1.31039340385837e+002	(-3.51461976054665e+001dB,-9.12409492432944e+001°)
